workstation	item	qty_per_capacity
Участок сборки снегоходов	НФ-00009114	1.000000000
Участок сборки мотобуксировщиков	НФ-00007570	3.000000000
Участок сборки мотобуксировщиков	00-00001514	3.000000000
Участок сборки модулей	НФ-00010435	10.000000000
Участок сборки мотобуксировщиков	НФ-00005867	3.000000000
Участок сборки модулей	00-00000326	10.000000000
Участок сборки мотобуксировщиков	00-00002806	3.000000000
Участок сборки мотобуксировщиков	НФ-00009132	3.000000000
Участок сборки мотобуксировщиков	НФ-00010230	3.000000000
Участок сборки снегоходов	НФ-00007842	1.000000000
Участок сборки мотобуксировщиков	НФ-00009193	3.000000000
Участок сборки модулей	НФ-00004249	5.000000000
Участок сборки мотобуксировщиков	НФ-00005256	3.000000000
Участок сборки мотобуксировщиков	НФ-00003999	3.000000000
Участок сборки снегоходов	НФ-00010996	1.000000000
Участок сборки мотобуксировщиков	НФ-00011056	3.000000000
Участок сборки мотобуксировщиков	00-00001083	3.000000000
Участок сборки мотобуксировщиков	НФ-00011569	4.000000000
Участок сборки мотобуксировщиков	НФ-00010272	3.000000000
Участок сборки снегоходов	НФ-00010327	1.000000000
Участок сборки мотобуксировщиков	НФ-00010293	3.000000000
Участок сборки мотобуксировщиков	НФ-00005395	3.000000000
Участок сборки снегоходов	НФ-00006574	1.000000000
Участок сборки мотобуксировщиков	НФ-00010056	3.000000000
Участок сборки модулей	НФ-00006579	10.000000000
Участок сборки мотобуксировщиков	НФ-00004061	3.000000000
Участок сборки модулей	00-00003031	10.000000000
Участок сборки мотобуксировщиков	НФ-00005943	3.000000000
Участок сборки мотобуксировщиков	НФ-00005517	3.000000000
Участок сборки мотобуксировщиков	00-00003441	3.000000000
Участок сборки модулей	НФ-00011278	10.000000000
Участок сборки мотобуксировщиков	НФ-00010443	3.000000000
Участок сборки мотобуксировщиков	НФ-00007569	3.000000000
Участок сборки мотобуксировщиков	НФ-00005965	3.000000000
Участок сборки мотобуксировщиков	НФ-00005166	3.000000000
Участок сборки мотобуксировщиков	НФ-00008406	3.000000000
Участок сборки мотобуксировщиков	00-00002708	3.000000000
Участок сборки мотобуксировщиков	НФ-00010273	3.000000000
Участок сборки мотобуксировщиков	00-00003202	3.000000000
Участок сборки мотобуксировщиков	НФ-00011570	4.000000000
Участок сборки мотобуксировщиков	НФ-00010716	4.000000000
Участок сборки мотобуксировщиков	НФ-00010481	3.000000000
Участок сборки снегоходов	НФ-00010256	1.000000000
Участок сборки мотобуксировщиков	НФ-00005872	3.000000000
Участок сборки мотобуксировщиков	00-00003216	3.000000000
Участок сборки мотобуксировщиков	НФ-00005757	3.000000000
Участок сборки снегоходов	НФ-00008365	1.000000000
Участок сборки мотобуксировщиков	00-00002809	3.000000000
Участок сборки мотобуксировщиков	НФ-00005761	3.000000000
Участок сборки мотобуксировщиков	00-00003056	3.000000000
Участок сборки мотобуксировщиков	НФ-00008662	3.000000000
Участок сборки снегоходов	НФ-00009063	1.000000000
Участок сборки модулей	НФ-00009334	5.000000000
Участок сборки мотобуксировщиков	НФ-00003782	3.000000000
Участок сборки мотобуксировщиков	НФ-00005756	3.000000000
Участок сборки модулей	НФ-00010989	10.000000000
Участок сборки мотобуксировщиков	НФ-00005755	3.000000000
Участок сборки мотобуксировщиков	НФ-00004276	3.000000000
Участок сборки снегоходов	НФ-00010326	1.000000000
Участок сборки снегоходов	НФ-00011266	1.000000000
Участок сборки мотобуксировщиков	НФ-00008734	3.000000000
Участок сборки снегоходов	НФ-00010325	1.000000000
Участок сборки модулей	НФ-00004882	5.000000000
Участок сборки модулей	НФ-00004325	5.000000000
