"article","stage_text"
"Г0007842","Сборка"
"HS1510000-0","Сборка"
"CA-004230-SP","Покраска"
"CA-004230-S","Сборка/сварка"
"CP-001790-G","Гибка"
"CP-001784-G","Гибка"
"CP-001850-R","Заготовка"
"CP-001787-RGSv","Сверловка"
"CP-001787-RG","Гибка"
"CP-001787-R","Заготовка"
"CP-001785-G","Гибка"
"CA-000910-SP","Покраска"
"CA-000910-S","Сборка/сварка"
"CP-000334-RG","Гибка"
"CP-000334-R","Заготовка"
"CP-000336-G","Гибка"
"CA-000920-SP","Покраска"
"CA-000920-S","Сборка/сварка"
"CP-000338-RG","Гибка"
"CP-000338-R","Заготовка"
"CP-000341-G","Гибка"
"СA-002020-SP","Покраска"
"CA-002020-S","Сборка/сварка"
"CP-000560-G","Гибка"
"CP-000557-RGSv","Сверловка"
"CP-000557-RG","Гибка"
"CP-000557-R","Заготовка"
"CA-002000-SP","Покраска"
"CA-002000-S","Сборка/сварка"
"CP-000557-RGSv","Сверловка"
"CP-000557-RG","Гибка"
"CP-000557-R","Заготовка"
"CP-000560-G","Гибка"
"CA-001000-SP","Покраска"
"CA-001000-S","Сборка/сварка"
"CP-000593-RG","Гибка"
"CP-000593-R","Заготовка"
"CP-000431-G","Гибка"
"CP-000591-RG","Гибка"
"CP-000591-R","Заготовка"
"CP-002197-G","Гибка"
"CP-000594-RG","Гибка"
"CP-000594-R","Заготовка"
"CP-001956-G","Гибка"
"CA-000890-SP","Покраска"
"CA-000890-S","Сборка/сварка"
"CP-000298-G","Гибка"
"CP-000302-G","Гибка"
"CP-000305-G","Гибка"
"CP-000308-G","Гибка"
"CP-000299-G","Гибка"
"CP-000303-G","Гибка"
"CP-000306-G","Гибка"
"CP-000311-G","Гибка"
"CP-000388-G","Гибка"
"CP-000301-G","Гибка"
"CP-000304-G","Гибка"
"CP-000307-G","Гибка"
"CA-000830-SP","Покраска"
"CA-000830-S","Сборка/сварка"
"CP-000252-G","Гибка"
"CP-000249-G","Гибка"
"CP-000251-G","Гибка"
"CP-000291-R","Заготовка"
"CP-000250-G","Гибка"
"CP-000317-GP","Покраска"
"CP-000317-G","Гибка"
"CP-000318-GP","Покраска"
"CP-000318-G","Гибка"
"IH.0004331-0","Сборка"
"CA-006030-SP","Покраска"
"CA-006030-S","Сборка/сварка"
"CP-000416-P","Покраска"
"CP-000417-P","Покраска"
"CP-000417-G","Гибка"
"CP-000313-GP","Покраска"
"CP-000313-G","Гибка"
"CP-000221-ShPk","Покраска"
"CP-000221-Sh","Штамповка"
"CP-000316-GSP","Покраска"
"CP-000316-GS","Сборка/сварка"
"CP-000316-G","Гибка"
"CP-000315-GP","Покраска"
"CP-000315-G","Гибка"
"CP-000314-GP","Покраска"
"CP-000314-G","Гибка"
"CP-000640-RP","Покраска"
"CP-000640-R","Заготовка"
"CP-000335-GP","Покраска"
"CP-000335-G","Гибка"
"CP-000339-GP","Покраска"
"CP-000339-G","Гибка"
"CA-000420-Sb","Сборка"
"CA-000410-SP","Покраска"
"CA-000410-S","Сборка/сварка"
"CP-000225-RTTchTF","Фрезеровка"
"CP-000225-RTTchT","Токарные работы"
"CP-000225-RTTch","Токарные работы"
"CP-000225-RT","Токарные работы"
"CP-000225-R","Заготовка"
"VP-000358-P","Покраска"
"CA-000720","Сборка"
"CA-000440-SPT","Токарные работы"
"CA-000440-SP","Покраска"
"CA-000440-S","Сборка/сварка"
"CP-000226-RT","Токарные работы"
"CP-000226-R","Заготовка"
"VA-007142-Sb","Сборка"
"CA-007065-SP","Покраска"
"CA-007065-S","Сборка/сварка"
"CP-002775-G","Гибка"
"CP-002777-RTG","Гибка"
"CP-002777-RT","Токарные работы"
"CP-002777-R","Заготовка"
"IH0006941-0","Сборка"
"CA-000850-SP","Покраска"
"CA-000850-S","Сборка/сварка"
"CP-000286-G","Гибка"
"CP-000621-G","Гибка"
"CP-000558-RT","Токарные работы"
"CP-000558-R","Заготовка"
"CP-000288-G","Гибка"
"CP-000290-G","Гибка"
"CP-000287-G","Гибка"
"CP-000283-G","Гибка"
"CP-000289-G","Гибка"
"CP-002235-G","Гибка"
"CP-002237-G","Гибка"
"CP-002236-G","Гибка"
"CA-006040-SP","Покраска"
"CA-006040-S","Сборка/сварка"
"CP-002590-R","Заготовка"
"CA-002150-SP","Покраска"
"CA-002150-S","Сборка/сварка"
"CP-000603-R","Заготовка"
"CP-000604-RT","Токарные работы"
"CP-000604-R","Заготовка"
